;;;
Informações de Saúde;;;
DATASUS  Tecnologia da Informação a Serviço do SUS;;;
Ajuda;;;
Notas Técnicas;;;
DATASUS;;;
Taxa de desemprego - Brasil;;;
Taxa de desemprego 16a e+ segundo Município;;;
Período: 1991;;;
Município;Taxa de desemprego 16a e+;;
Fonte: IBGE - Censos Demográficos;;;
Notas:;;;
;;;
1. Taxa de desemprego: Percentual da população de 16 anos e mais, economicamente ativa, desocupada.;;;
;;;
Consulte o sítio da Secretaria Estadual de Saúde e do IBGE para mais informações.;;;
;;;
230763 MADALENA;1,12;;
230765 MARACANAU;5,78;;
230770 MARANGUAPE;4,68;;
230780 MARCO;1,91;;
230790 MARTINOPOLE;1,04;;
230800 MASSAPE;6,91;;
230810 MAURITI;1,27;;
230820 MERUOCA;1,67;;
230830 MILAGRES;2,29;;
230835 MILHA;2,11;;
230837 MIRAIMA;0,48;;
230840 MISSAO VELHA;2,21;;
230850 MOMBACA;2,55;;
230870 MORADA NOVA;2,11;;
230880 MORAUJO;0,49;;
230890 MORRINHOS;0,5;;
230900 MUCAMBO;5,38;;
230910 MULUNGU;0,96;;
230920 NOVA OLINDA;3,56;;
230930 NOVA RUSSAS;5,28;;
230940 NOVO ORIENTE;1,55;;
230945 OCARA;1,86;;
230950 OROS;2,56;;
230960 PACAJUS;1,85;;
230970 PACATUBA;5,06;;
230980 PACOTI;0,96;;
230990 PACUJA;0,2;;
231000 PALHANO;9,02;;
231010 PALMACIA;1,6;;
231020 PARACURU;1,74;;
231025 PARAIPABA;3,04;;
231030 PARAMBU;1,51;;
231040 PARAMOTI;3,8;;
231050 PEDRA BRANCA;2,07;;
231060 PENAFORTE;0,74;;
231070 PENTECOSTE;3,24;;
231080 PEREIRO;1;;
231085 PINDORETAMA;1,84;;
231090 PIQUET CARNEIRO;0,66;;
